355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   1.70
035.0-045.0 N/A    N/A    N/A
045.0-055.0   1    N/A   2.50
055.0-065.0   3   1.24   7.77
065.0-075.0   3   3.79   6.03
075.0-085.0   5   2.84   2.50
085.0-095.0   7   1.69   3.00
095.0-105.0   6   2.22   4.78
105.0-115.0   5   1.11   2.92
115.0-125.0   6   1.54   3.32
125.0-135.0   3   1.87   6.90
135.0-145.0   3   0.76   1.07
145.0-155.0   2   1.55   5.55
155.0-165.0   1    N/A   6.90
165.0-175.0   2   1.95   5.75
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   1    N/A   6.20
225.0-235.0   1    N/A  10.80
235.0-245.0   2   2.20   5.90
245.0-255.0   4   3.15   6.07
255.0-265.0   2   1.75   5.75
265.0-275.0   6   2.69   4.68
275.0-285.0   6   3.30   4.83
285.0-295.0   8   1.69   4.20
295.0-305.0   4   2.31   7.15
305.0-315.0   5   1.86   6.54
315.0-325.0   4   0.74   5.10
325.0-335.0   2   1.45   7.25
335.0-345.0   1    N/A   1.10
345.0-355.0   2   0.75   3.25
