355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A   6.10
015.0-025.0   2   1.30   8.30
025.0-035.0   1    N/A   8.90
035.0-045.0   4   2.99   8.10
045.0-055.0   5   2.56   8.16
055.0-065.0   6   3.18   7.83
065.0-075.0   8   1.92   4.25
075.0-085.0  12   3.15   3.53
085.0-095.0   4   0.71   3.65
095.0-105.0   1    N/A   4.70
105.0-115.0 N/A    N/A    N/A
115.0-125.0   5   1.75   4.42
125.0-135.0 N/A    N/A    N/A
135.0-145.0   2   0.40   1.60
145.0-155.0   1    N/A   6.10
155.0-165.0   1    N/A   2.10
165.0-175.0   1    N/A   7.70
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A   2.60
195.0-205.0   2   1.10   3.80
205.0-215.0   1    N/A   2.90
215.0-225.0   2   1.85   3.25
225.0-235.0   5   2.26   3.90
235.0-245.0   6   3.26   5.47
245.0-255.0   5   1.84   4.06
255.0-265.0  11   2.51   5.23
265.0-275.0   9   2.39   7.93
275.0-285.0   1    N/A  11.50
285.0-295.0   1    N/A   8.00
295.0-305.0   3   2.09   5.67
305.0-315.0   2   3.85   7.35
315.0-325.0   2   0.10   4.90
325.0-335.0   1    N/A   2.20
335.0-345.0   1    N/A   4.70
345.0-355.0   1    N/A   4.00
