355.0-005.0   6   0.76   2.80
005.0-015.0   3   0.65   3.60
015.0-025.0   7   1.46   2.84
025.0-035.0   4   2.81   3.97
035.0-045.0   5   0.99   3.02
045.0-055.0   3   1.97   6.47
055.0-065.0   5   2.44   3.08
065.0-075.0   2   1.40   4.00
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A   5.70
105.0-115.0   3   1.43   4.47
115.0-125.0   1    N/A   2.30
125.0-135.0   1    N/A   3.10
135.0-145.0   4   1.50   3.20
145.0-155.0   2   1.25   2.65
155.0-165.0   1    N/A   5.50
165.0-175.0   2   0.95   3.45
175.0-185.0   6   1.84   2.40
185.0-195.0   3   0.97   4.27
195.0-205.0   6   1.46   3.42
205.0-215.0   4   2.59   3.55
215.0-225.0   5   1.24   2.80
225.0-235.0   3   1.73   2.13
235.0-245.0   3   1.51   2.77
245.0-255.0   4   2.16   3.27
255.0-265.0   1    N/A   0.80
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A   6.80
285.0-295.0   2   0.50   5.30
295.0-305.0   2   2.45   6.05
305.0-315.0 N/A    N/A    N/A
315.0-325.0   4   1.39   4.85
325.0-335.0   3   1.53   3.60
335.0-345.0   1    N/A   2.50
345.0-355.0   2   1.10   1.30
