355.0-005.0   2   3.45   4.75
005.0-015.0   2   0.05  10.95
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   0.25   7.85
035.0-045.0   1    N/A  15.80
045.0-055.0   4   2.95  14.50
055.0-065.0   7   2.28  16.29
065.0-075.0   8   2.70  15.81
075.0-085.0   6   1.20  12.88
085.0-095.0   9   1.95   9.29
095.0-105.0   5   1.60   8.66
105.0-115.0   4   1.39  11.70
115.0-125.0   4   2.27  12.35
125.0-135.0   6   1.11   9.75
135.0-145.0   3   1.88  10.93
145.0-155.0   2   0.90  13.00
155.0-165.0   1    N/A   8.40
165.0-175.0   1    N/A   6.40
175.0-185.0   2   1.10   9.30
185.0-195.0   2   1.45  13.45
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   1.45   2.95
215.0-225.0   1    N/A   6.40
225.0-235.0   3   2.03   3.33
235.0-245.0   7   1.81   3.41
245.0-255.0   5   2.12   3.36
255.0-265.0   8   1.15   4.61
265.0-275.0  10   1.42   5.62
275.0-285.0   3   0.63   4.37
285.0-295.0   6   1.62   4.75
295.0-305.0   5   4.25  11.62
305.0-315.0   4   1.63   8.95
315.0-325.0   5   3.82   5.74
325.0-335.0   2   1.00   6.20
335.0-345.0   1    N/A   6.20
345.0-355.0   1    N/A   2.50
