355.0-005.0   4   2.63   7.55
005.0-015.0   5   0.65  10.18
015.0-025.0   4   1.21  11.80
025.0-035.0   8   3.02  12.05
035.0-045.0   5   1.51  17.80
045.0-055.0   6   2.54  16.30
055.0-065.0   6   2.50  16.12
065.0-075.0   8   1.75  11.72
075.0-085.0   2   1.65   7.05
085.0-095.0 N/A    N/A    N/A
095.0-105.0   2   0.80  14.90
105.0-115.0   1    N/A  17.80
115.0-125.0   1    N/A  13.90
125.0-135.0   2   0.75  14.85
135.0-145.0   3   0.93  16.00
145.0-155.0   4   1.11  11.12
155.0-165.0   2   0.85   9.65
165.0-175.0   3   1.86   6.33
175.0-185.0   4   0.36   6.67
185.0-195.0   4   1.93   5.07
195.0-205.0   4   1.36   3.32
205.0-215.0   8   1.15   4.03
215.0-225.0   5   1.58   2.58
225.0-235.0   4   0.81   2.23
235.0-245.0   6   0.96   2.05
245.0-255.0   6   0.96   2.23
255.0-265.0   5   1.34   1.96
265.0-275.0   2   0.90   3.80
275.0-285.0   1    N/A   8.50
285.0-295.0   1    N/A   8.90
295.0-305.0   2   0.95   9.45
305.0-315.0   2   1.60  12.80
315.0-325.0   3   1.60   7.33
325.0-335.0   4   1.83   5.30
335.0-345.0   2   0.90   5.60
345.0-355.0   3   1.76   5.13
