355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   2.75   3.65
025.0-035.0 N/A    N/A    N/A
035.0-045.0 N/A    N/A    N/A
045.0-055.0   3   0.54   7.10
055.0-065.0   7   1.37   2.43
065.0-075.0   8   2.89   4.66
075.0-085.0   4   3.39   7.10
085.0-095.0   7   1.93   3.67
095.0-105.0   3   2.21   4.40
105.0-115.0   6   2.45   4.30
115.0-125.0   3   2.64   3.57
125.0-135.0   2   2.05   3.55
135.0-145.0   2   0.25   5.75
145.0-155.0 N/A    N/A    N/A
155.0-165.0   2   0.70   6.10
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   0.35   2.55
205.0-215.0 N/A    N/A    N/A
215.0-225.0 N/A    N/A    N/A
225.0-235.0   1    N/A   6.10
235.0-245.0   6   2.30   3.12
245.0-255.0   8   1.14   3.62
255.0-265.0   5   1.19   7.84
265.0-275.0   4   1.84   7.25
275.0-285.0   7   2.34   5.23
285.0-295.0   5   2.65   6.36
295.0-305.0   3   1.65   5.67
305.0-315.0   4   2.72   6.17
315.0-325.0   2   0.70   5.50
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A   6.10
345.0-355.0   1    N/A   7.60
