355.0-005.0 118   1.78   4.71
005.0-015.0  94   1.79   3.85
015.0-025.0 102   1.31   3.74
025.0-035.0 124   1.53   3.96
035.0-045.0  98   1.56   3.34
045.0-055.0 114   1.50   4.11
055.0-065.0 114   1.66   3.29
065.0-075.0 126   2.25   3.32
075.0-085.0 134   1.69   3.80
085.0-095.0 134   1.81   3.58
095.0-105.0 106   1.85   3.80
105.0-115.0 102   1.58   3.11
115.0-125.0 104   1.58   3.69
125.0-135.0  88   1.43   3.15
135.0-145.0  88   1.31   3.42
145.0-155.0  94   1.93   3.80
155.0-165.0  98   1.81   3.85
165.0-175.0  98   1.56   4.01
175.0-185.0 112   1.59   3.10
185.0-195.0  86   1.32   3.60
195.0-205.0 102   1.84   3.24
205.0-215.0 112   1.66   3.48
215.0-225.0 102   1.70   3.35
225.0-235.0  88   1.60   3.17
235.0-245.0 108   1.43   3.55
245.0-255.0 112   1.38   3.11
255.0-265.0 132   1.41   3.41
265.0-275.0 152   1.64   3.43
275.0-285.0  96   1.77   4.12
285.0-295.0 112   1.26   2.95
295.0-305.0 112   1.67   4.06
305.0-315.0 108   1.67   4.24
315.0-325.0  92   1.99   4.87
325.0-335.0  98   1.53   4.01
335.0-345.0  96   1.81   3.76
345.0-355.0 104   1.38   3.66
