355.0-005.0   2   1.80   5.70
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   0.85  10.00
025.0-035.0   3   4.10  11.57
035.0-045.0   4   2.00  13.68
045.0-055.0   6   3.00  15.72
055.0-065.0   7   2.09  17.07
065.0-075.0   4   1.50  14.12
075.0-085.0   6   2.00  14.25
085.0-095.0   9   1.64  12.59
095.0-105.0   6   0.56   8.57
105.0-115.0   5   1.47   9.50
115.0-125.0   5   1.34   9.96
125.0-135.0   4   1.52   8.90
135.0-145.0   1    N/A   9.60
145.0-155.0   1    N/A  14.20
155.0-165.0   2   4.30  11.10
165.0-175.0   1    N/A   9.40
175.0-185.0   1    N/A  10.10
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   2.10  11.03
205.0-215.0   3   1.59   4.97
215.0-225.0   2   2.55   3.05
225.0-235.0   6   1.75   2.45
235.0-245.0   6   1.65   3.20
245.0-255.0   6   1.41   2.68
255.0-265.0   5   1.41   2.52
265.0-275.0   9   1.03   3.60
275.0-285.0   6   1.48   3.38
285.0-295.0   6   0.64   2.85
295.0-305.0   5   1.63   4.02
305.0-315.0   5   1.12   3.26
315.0-325.0   1    N/A   4.80
325.0-335.0   1    N/A   3.40
335.0-345.0   1    N/A   3.90
345.0-355.0   1    N/A   3.30
