355.0-005.0   1    N/A   6.70
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   2.95   5.05
025.0-035.0   1    N/A  11.40
035.0-045.0   1    N/A  12.70
045.0-055.0   5   4.06  11.92
055.0-065.0   2   0.80  18.20
065.0-075.0   6   3.87  16.25
075.0-085.0   6   1.69  14.47
085.0-095.0   5   2.91  11.22
095.0-105.0   6   1.40  11.82
105.0-115.0   7   1.83  10.50
115.0-125.0   4   2.98   7.47
125.0-135.0   6   1.14   9.12
135.0-145.0   2   1.90   9.80
145.0-155.0   3   1.78  14.40
155.0-165.0   2   4.00  11.40
165.0-175.0   2   2.25  15.55
175.0-185.0   1    N/A  13.30
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   3.70   7.80
205.0-215.0   1    N/A  13.80
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.21   4.12
235.0-245.0   3   0.79   3.10
245.0-255.0   3   1.90   4.10
255.0-265.0   5   2.45   5.54
265.0-275.0   5   1.35   3.22
275.0-285.0   6   1.25   3.20
285.0-295.0   8   1.62   2.91
295.0-305.0   4   1.14   4.17
305.0-315.0   5   0.98   4.50
315.0-325.0   6   1.77   4.78
325.0-335.0   3   0.97   4.07
335.0-345.0   1    N/A   3.90
345.0-355.0   3   1.69   2.93
