355.0-005.0   1    N/A   4.80
005.0-015.0   1    N/A   8.30
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  11.20
035.0-045.0 N/A    N/A    N/A
045.0-055.0   7   1.57  10.29
055.0-065.0   6   1.16   9.48
065.0-075.0  11   2.09  13.96
075.0-085.0   9   2.59  15.32
085.0-095.0  10   1.70  14.76
095.0-105.0   8   2.64  10.94
105.0-115.0   8   2.35   9.12
115.0-125.0   2   0.55   8.25
125.0-135.0   1    N/A   9.20
135.0-145.0   2   1.10   6.50
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   2.50   5.00
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  14.20
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.51   3.92
235.0-245.0   4   1.49   1.62
245.0-255.0   9   1.44   1.91
255.0-265.0  10   1.21   1.98
265.0-275.0  11   1.90   3.34
275.0-285.0   7   0.73   2.20
285.0-295.0  11   1.52   2.19
295.0-305.0   3   0.91   2.60
305.0-315.0   2   0.05   5.15
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   0.40   2.60
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
