355.0-005.0   9   1.50   5.44
005.0-015.0   5   2.60   9.52
015.0-025.0   2   5.10  10.50
025.0-035.0   2   0.50  12.90
035.0-045.0   3   4.32   8.20
045.0-055.0   1    N/A  10.10
055.0-065.0   2   2.70  21.40
065.0-075.0   2   1.45  11.55
075.0-085.0   1    N/A  10.10
085.0-095.0   1    N/A  15.70
095.0-105.0   1    N/A  17.10
105.0-115.0   4   3.42   8.72
115.0-125.0   8   2.70  10.00
125.0-135.0   4   2.25   9.75
135.0-145.0   6   0.86  14.32
145.0-155.0   1    N/A  15.20
155.0-165.0   6   2.00  18.70
165.0-175.0   5   6.34  14.02
175.0-185.0   9   1.66   7.77
185.0-195.0   3   3.40   6.43
195.0-205.0   4   0.91   3.82
205.0-215.0   1    N/A   8.70
215.0-225.0   4   0.89   3.70
225.0-235.0   1    N/A   1.90
235.0-245.0   2   0.90   0.90
245.0-255.0   1    N/A   1.10
255.0-265.0   1    N/A   0.70
265.0-275.0   2   0.45   0.45
275.0-285.0   1    N/A   4.10
285.0-295.0   1    N/A   0.60
295.0-305.0   7   1.74   4.56
305.0-315.0   7   2.04   2.99
315.0-325.0   7   1.71   3.39
325.0-335.0   1    N/A   1.00
335.0-345.0   6   2.00   4.52
345.0-355.0   5   2.05   4.64
