355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  10.40
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0   1    N/A  14.60
065.0-075.0   2   1.75  18.45
075.0-085.0   2   3.20  18.50
085.0-095.0   5   2.74  12.08
095.0-105.0  16   3.01   7.89
105.0-115.0  10   3.46   8.30
115.0-125.0   9   1.80  12.28
125.0-135.0   6   2.43  13.62
135.0-145.0   8   5.42  10.89
145.0-155.0   4   1.08  10.35
155.0-165.0   2   1.05   5.95
165.0-175.0   1    N/A   6.10
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   3.70
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   2   0.35   2.45
255.0-265.0   2   1.30   1.50
265.0-275.0   2   0.45   0.45
275.0-285.0   7   0.72   1.73
285.0-295.0  14   1.02   1.91
295.0-305.0  15   2.90   4.73
305.0-315.0   6   1.58   7.25
315.0-325.0   7   1.44   3.64
325.0-335.0   6   1.02   3.13
335.0-345.0   4   2.10   3.70
345.0-355.0   1    N/A   9.30
