355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   1.60   6.80
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   1    N/A   8.70
045.0-055.0   5   1.39  11.12
055.0-065.0   4   1.99  11.35
065.0-075.0   7   2.97  14.69
075.0-085.0  10   2.01  15.86
085.0-095.0  10   1.79   8.66
095.0-105.0   7   2.59   8.87
105.0-115.0   6   1.36   8.37
115.0-125.0   8   2.22   9.79
125.0-135.0   2   0.75   9.95
135.0-145.0   2   0.40  10.90
145.0-155.0   1    N/A   6.30
155.0-165.0   2   1.70   6.60
165.0-175.0   1    N/A   7.90
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   3.90   9.00
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   1.97   3.40
235.0-245.0   4   1.44   2.25
245.0-255.0   5   0.91   1.14
255.0-265.0   9   2.58   4.17
265.0-275.0  12   1.89   2.95
275.0-285.0   6   0.33   2.92
285.0-295.0   5   0.40   0.96
295.0-305.0   9   1.35   3.51
305.0-315.0   5   1.38   3.38
315.0-325.0   2   0.35   4.75
325.0-335.0 N/A    N/A    N/A
335.0-345.0   3   0.90   2.33
345.0-355.0   1    N/A   4.50
