355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   5.15  13.75
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   1    N/A  10.50
045.0-055.0   5   1.80  12.02
055.0-065.0   4   1.64  13.55
065.0-075.0   6   3.11  15.93
075.0-085.0  10   2.03  17.13
085.0-095.0  10   2.54  11.00
095.0-105.0   7   2.26  10.40
105.0-115.0   6   1.99   9.77
115.0-125.0   8   2.28  12.93
125.0-135.0   2   0.80  13.00
135.0-145.0   2   1.45  11.55
145.0-155.0   1    N/A   7.80
155.0-165.0   2   1.95   8.75
165.0-175.0   1    N/A   8.00
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   5.10  11.20
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.61   5.26
235.0-245.0   4   2.26   3.20
245.0-255.0   4   0.41   3.63
255.0-265.0   9   2.98   7.20
265.0-275.0  12   2.29   5.83
275.0-285.0   6   1.63   3.78
285.0-295.0   5   1.90   2.70
295.0-305.0   9   4.85  10.49
305.0-315.0   5   4.05   6.76
315.0-325.0   2   0.45   6.45
325.0-335.0 N/A    N/A    N/A
335.0-345.0   3   1.59   5.27
345.0-355.0   1    N/A   5.70
