355.0-005.0   1    N/A   1.30
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   1.15   3.77
025.0-035.0   2   2.15   7.25
035.0-045.0 N/A    N/A    N/A
045.0-055.0   6   2.80   5.17
055.0-065.0   4   1.55   3.08
065.0-075.0   3   0.74   1.23
075.0-085.0   5   2.40   3.14
085.0-095.0   9   2.93   3.89
095.0-105.0   4   3.13   5.03
105.0-115.0   5   2.52   7.72
115.0-125.0   5   3.00   6.62
125.0-135.0   1    N/A   8.30
135.0-145.0   5   3.51   4.96
145.0-155.0   4   2.27   6.90
155.0-165.0 N/A    N/A    N/A
165.0-175.0   3   0.69  12.17
175.0-185.0   1    N/A   9.30
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   0.59   8.27
205.0-215.0   2   1.45   6.95
215.0-225.0 N/A    N/A    N/A
225.0-235.0   4   1.19   5.60
235.0-245.0   5   2.17   6.66
245.0-255.0   2   2.10   5.60
255.0-265.0   5   1.92   8.28
265.0-275.0   8   1.47   7.82
275.0-285.0   5   0.83   5.86
285.0-295.0   5   1.67   9.30
295.0-305.0   4   1.55   9.68
305.0-315.0   4   1.20   9.30
315.0-325.0   5   2.16   7.86
325.0-335.0   3   1.74   4.60
335.0-345.0   1    N/A   1.70
345.0-355.0   3   0.22   6.40
