355.0-005.0 N/A    N/A    N/A
005.0-015.0   3   2.76   5.20
015.0-025.0   3   1.60   4.23
025.0-035.0   5   1.62   4.34
035.0-045.0   4   1.90   2.98
045.0-055.0   4   3.69   4.93
055.0-065.0   8   1.70   2.56
065.0-075.0   7   2.34   4.53
075.0-085.0 N/A    N/A    N/A
085.0-095.0   1    N/A   4.30
095.0-105.0   1    N/A   2.10
105.0-115.0   1    N/A   3.50
115.0-125.0   1    N/A   1.90
125.0-135.0 N/A    N/A    N/A
135.0-145.0   1    N/A  13.00
145.0-155.0   2   4.90  10.40
155.0-165.0   3   2.62  13.07
165.0-175.0   3   1.39  10.33
175.0-185.0 N/A    N/A    N/A
185.0-195.0   3   2.86  11.00
195.0-205.0   2   2.55   5.45
205.0-215.0   5   2.34   7.88
215.0-225.0   3   2.48   8.10
225.0-235.0   4   4.22   7.68
235.0-245.0   5   1.32   7.14
245.0-255.0   8   2.91   4.54
255.0-265.0   4   2.87   6.95
265.0-275.0   1    N/A   5.30
275.0-285.0   1    N/A   8.20
285.0-295.0 N/A    N/A    N/A
295.0-305.0   2   0.10   5.70
305.0-315.0 N/A    N/A    N/A
315.0-325.0   1    N/A   9.60
325.0-335.0   1    N/A   8.90
335.0-345.0   4   1.60   9.95
345.0-355.0   3   2.51   9.37
