355.0-005.0   4   1.31   6.12
005.0-015.0   3   0.99   4.90
015.0-025.0   9   2.66   7.94
025.0-035.0  12   3.81  12.10
035.0-045.0  11   2.53  12.19
045.0-055.0   9   2.26   9.66
055.0-065.0   7   1.93   9.30
065.0-075.0   1    N/A  11.30
075.0-085.0   1    N/A   6.80
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0   2   1.35  11.05
155.0-165.0   4   2.07   9.75
165.0-175.0   4   0.78   9.50
175.0-185.0   3   1.19   6.13
185.0-195.0   4   1.08   3.58
195.0-205.0   8   1.57   4.05
205.0-215.0  10   1.26   4.42
215.0-225.0   9   1.44   4.13
225.0-235.0   9   0.81   2.81
235.0-245.0   7   1.49   3.01
245.0-255.0   6   1.21   2.70
255.0-265.0   1    N/A   3.80
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   1.30   6.50
335.0-345.0   4   1.18   4.27
345.0-355.0   4   1.95   5.60
