355.0-005.0  49   1.54   5.84
005.0-015.0  51   1.74   7.46
015.0-025.0  70   1.67   8.31
025.0-035.0  77   2.02  10.21
035.0-045.0  82   1.73  10.84
045.0-055.0  74   1.50  11.90
055.0-065.0  89   2.53  12.00
065.0-075.0  91   2.14  11.77
075.0-085.0  84   2.01  11.20
085.0-095.0  88   2.31  11.45
095.0-105.0  80   1.89  10.42
105.0-115.0  69   1.45  10.60
115.0-125.0  54   1.44  10.44
125.0-135.0  43   0.96  11.22
135.0-145.0  35   1.66  12.05
145.0-155.0  36   2.07  11.97
155.0-165.0  40   1.58  10.92
165.0-175.0  37   1.68  12.18
175.0-185.0  47   1.25   8.93
185.0-195.0  45   1.18   8.15
195.0-205.0  65   1.22   5.99
205.0-215.0  79   1.38   5.30
215.0-225.0  68   1.08   3.93
225.0-235.0  69   1.15   3.65
235.0-245.0  82   1.27   3.66
245.0-255.0  80   1.11   4.51
255.0-265.0  92   1.50   5.41
265.0-275.0  98   1.42   6.14
275.0-285.0  75   1.26   6.04
285.0-295.0  82   2.16   6.62
295.0-305.0  62   2.15   9.68
305.0-315.0  47   2.06  10.08
315.0-325.0  39   1.59   8.32
325.0-335.0  35   1.41   5.97
335.0-345.0  41   0.71   5.82
345.0-355.0  39   1.35   5.65
