355.0-005.0   6   1.30   5.92
005.0-015.0  15   1.93   5.13
015.0-025.0   9   2.55   4.94
025.0-035.0   5   2.51   3.26
035.0-045.0   5   3.03   4.36
045.0-055.0   1    N/A   1.50
055.0-065.0   1    N/A  12.20
065.0-075.0   1    N/A   3.40
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   2   0.45   8.75
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A  10.50
125.0-135.0 N/A    N/A    N/A
135.0-145.0   4   2.75   5.75
145.0-155.0   4   2.19   9.65
155.0-165.0   5   4.42  11.42
165.0-175.0   5   2.35  10.96
175.0-185.0   4   3.37   8.28
185.0-195.0  13   3.21   7.35
195.0-205.0  10   2.81   3.67
205.0-215.0   4   2.90   8.82
215.0-225.0   6   2.43   6.88
225.0-235.0   3   2.04   4.37
235.0-245.0   1    N/A   1.20
245.0-255.0   1    N/A   4.70
255.0-265.0 N/A    N/A    N/A
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A   9.90
285.0-295.0   1    N/A  12.10
295.0-305.0 N/A    N/A    N/A
305.0-315.0   1    N/A  16.40
315.0-325.0   4   2.44   7.20
325.0-335.0   3   1.43   9.90
335.0-345.0   4   2.19   9.82
345.0-355.0   6   4.05   9.78
