355.0-005.0   1    N/A   6.20
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   8.90
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0 N/A    N/A    N/A
065.0-075.0   1    N/A  13.20
075.0-085.0   3   1.67  18.53
085.0-095.0   1    N/A  14.60
095.0-105.0   6   5.24   9.95
105.0-115.0  12   3.54   7.24
115.0-125.0   9   3.19  11.00
125.0-135.0   8   3.91  14.09
135.0-145.0   8   4.06  18.12
145.0-155.0   8   2.89   8.66
155.0-165.0   4   2.08   3.95
165.0-175.0   2   0.55   5.35
175.0-185.0   1    N/A   3.60
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   5.80
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   1    N/A   5.10
255.0-265.0 N/A    N/A    N/A
265.0-275.0   3   2.56   5.37
275.0-285.0   2   4.30   8.70
285.0-295.0   8   2.72   9.59
295.0-305.0  14   5.77  11.25
305.0-315.0   9   2.54  18.43
315.0-325.0   8   3.66  10.70
325.0-335.0   9   1.89   5.16
335.0-345.0   6   1.58   7.63
345.0-355.0   2   0.70   9.00
