355.0-005.0   1    N/A   2.90
005.0-015.0   1    N/A  11.50
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  14.70
035.0-045.0 N/A    N/A    N/A
045.0-055.0   7   4.65  12.63
055.0-065.0   2   3.25  14.65
065.0-075.0   9   2.39  14.79
075.0-085.0   6   1.00  15.07
085.0-095.0   7   2.75  13.19
095.0-105.0   6   2.80  13.65
105.0-115.0   5   2.04  14.82
115.0-125.0   2   0.65   9.55
125.0-135.0   1    N/A  10.40
135.0-145.0   2   0.05   4.95
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   2.60   6.00
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  13.60
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.79   4.20
235.0-245.0   3   4.13   4.37
245.0-255.0   6   1.76   2.52
255.0-265.0   6   0.98   2.38
265.0-275.0   9   1.86   3.70
275.0-285.0   4   0.44   2.07
285.0-295.0   9   1.16   2.12
295.0-305.0   1    N/A   3.90
305.0-315.0   2   1.30   4.00
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   0.10   2.80
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
