355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   5   2.11   4.24
045.0-055.0  15   2.10   4.53
055.0-065.0  16   2.25   4.43
065.0-075.0  16   2.56   5.57
075.0-085.0   4   1.35   2.20
085.0-095.0   1    N/A   8.50
095.0-105.0   1    N/A   1.40
105.0-115.0   1    N/A   5.90
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   3   1.85   4.10
225.0-235.0   5   2.73   6.26
235.0-245.0  13   2.35   6.86
245.0-255.0  15   3.31   7.61
255.0-265.0  14   3.81   9.46
265.0-275.0   5   4.53   8.22
275.0-285.0   2   4.50  12.80
285.0-295.0   2   3.00  13.10
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
