355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A   6.40
015.0-025.0   1    N/A   8.90
025.0-035.0   1    N/A   5.10
035.0-045.0   1    N/A   1.70
045.0-055.0   3   1.20   4.00
055.0-065.0   6   3.71   6.18
065.0-075.0   8   1.01   3.80
075.0-085.0   6   1.66   4.90
085.0-095.0   9   2.05   5.21
095.0-105.0   9   2.91   5.11
105.0-115.0   5   1.70   6.06
115.0-125.0   5   1.70  10.42
125.0-135.0 N/A    N/A    N/A
135.0-145.0   1    N/A   9.80
145.0-155.0   2   2.20  10.80
155.0-165.0   1    N/A   6.90
165.0-175.0   1    N/A   7.50
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A  10.20
195.0-205.0   1    N/A   7.00
205.0-215.0   1    N/A   5.40
215.0-225.0   1    N/A   6.90
225.0-235.0   1    N/A   9.20
235.0-245.0   6   2.71   6.52
245.0-255.0   6   2.76   7.87
255.0-265.0   6   2.40   9.75
265.0-275.0  11   2.41  10.05
275.0-285.0   5   0.71  12.46
285.0-295.0   9   3.51  12.76
295.0-305.0   7   2.77  17.33
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   0.71  12.10
335.0-345.0   1    N/A   7.40
345.0-355.0   1    N/A   7.90
