355.0-005.0   6   1.24   7.50
005.0-015.0   2   0.15   7.25
015.0-025.0   2   0.30   8.70
025.0-035.0   3   2.42   8.63
035.0-045.0   1    N/A  11.40
045.0-055.0   3   2.93  13.03
055.0-065.0   5   1.22  12.64
065.0-075.0   1    N/A  12.10
075.0-085.0   3   1.47  13.60
085.0-095.0   4   4.67  15.62
095.0-105.0  11   1.61   9.02
105.0-115.0   4   0.39   7.40
115.0-125.0   6   1.70   8.33
125.0-135.0   3   1.97   9.97
135.0-145.0   2   0.80  11.20
145.0-155.0   5   3.19  10.68
155.0-165.0   1    N/A   9.80
165.0-175.0   6   1.83   6.43
175.0-185.0   6   1.74   6.13
185.0-195.0   2   2.20   5.00
195.0-205.0   2   0.05   5.25
205.0-215.0   3   2.67   3.50
215.0-225.0   1    N/A   5.90
225.0-235.0   3   1.79   4.87
235.0-245.0   4   0.35   8.85
245.0-255.0   1    N/A   3.90
255.0-265.0   3   2.79   8.83
265.0-275.0   4   0.97   9.18
275.0-285.0   4   2.15   8.65
285.0-295.0  10   2.80   8.25
295.0-305.0   5   2.51  12.40
305.0-315.0   6   1.29  13.03
315.0-325.0   2   0.75  11.15
325.0-335.0   4   0.99   7.90
335.0-345.0   2   2.25   5.95
345.0-355.0   6   2.29   6.95
