355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  11.00
015.0-025.0   3   2.14   9.80
025.0-035.0   4   1.97   9.35
035.0-045.0   6   1.41  12.78
045.0-055.0   7   1.45  11.93
055.0-065.0   8   1.28  13.74
065.0-075.0   5   2.61  10.86
075.0-085.0   6   4.06  12.43
085.0-095.0   4   2.51  12.53
095.0-105.0   5   1.88   9.88
105.0-115.0   8   1.53   8.90
115.0-125.0   4   3.44   9.10
125.0-135.0   1    N/A  10.10
135.0-145.0   2   0.60   9.50
145.0-155.0 N/A    N/A    N/A
155.0-165.0   2   0.25   6.05
165.0-175.0   2   4.05  10.25
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A   8.40
195.0-205.0   3   0.62   6.97
205.0-215.0   3   1.42   5.10
215.0-225.0   5   1.65   4.90
225.0-235.0   7   1.25   3.26
235.0-245.0   7   2.54   4.51
245.0-255.0   5   2.50   5.24
255.0-265.0   7   3.21   7.74
265.0-275.0   5   1.46   7.24
275.0-285.0   4   1.29   6.92
285.0-295.0   8   2.08  12.15
295.0-305.0   6   2.89  12.25
305.0-315.0   1    N/A  12.30
315.0-325.0   2   2.25   9.65
325.0-335.0 N/A    N/A    N/A
335.0-345.0   2   0.05   8.55
345.0-355.0   2   0.90   7.10
