355.0-005.0   2   1.30   7.00
005.0-015.0   3   0.76   7.03
015.0-025.0   2   0.30   6.40
025.0-035.0   2   1.55  12.25
035.0-045.0   3   1.47   7.97
045.0-055.0   1    N/A  16.30
055.0-065.0   2   1.40  18.30
065.0-075.0   2   2.35  12.05
075.0-085.0   3   1.60  11.03
085.0-095.0   4   1.26  11.57
095.0-105.0   9   2.53   8.88
105.0-115.0   6   3.23   8.48
115.0-125.0   8   2.43   7.31
125.0-135.0   2   1.40   9.40
135.0-145.0   5   0.74  10.68
145.0-155.0   2   2.10  12.20
155.0-165.0   7   2.13  11.59
165.0-175.0   5   2.80   7.12
175.0-185.0   1    N/A   6.90
185.0-195.0   4   0.38   3.12
195.0-205.0   2   0.10   5.10
205.0-215.0   1    N/A   5.20
215.0-225.0   4   0.60   3.67
225.0-235.0   1    N/A   6.60
235.0-245.0   1    N/A   7.60
245.0-255.0   2   4.05   7.65
255.0-265.0   3   1.07  10.77
265.0-275.0   2   0.75   6.35
275.0-285.0   5   3.40   8.66
285.0-295.0  11   2.54   9.79
295.0-305.0   6   2.22  12.22
305.0-315.0   6   1.94  13.73
315.0-325.0   3   1.10  11.50
325.0-335.0   3   1.28   8.23
335.0-345.0   8   2.17   6.03
345.0-355.0   5   1.77   6.86
