355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   2.05   6.55
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   3.35  11.55
045.0-055.0   4   4.52  12.68
055.0-065.0   9   2.92  14.14
065.0-075.0  10   2.46  12.09
075.0-085.0   6   2.96  11.77
085.0-095.0   8   2.38  11.26
095.0-105.0   7   1.06   7.93
105.0-115.0   6   2.71   9.37
115.0-125.0   5   1.84   7.60
125.0-135.0   2   0.15   8.75
135.0-145.0   2   0.10   8.80
145.0-155.0 N/A    N/A    N/A
155.0-165.0   3   1.05   7.17
165.0-175.0   1    N/A  10.10
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   1.80   5.90
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   0.65   3.25
225.0-235.0   2   0.25   2.25
235.0-245.0   8   2.32   4.90
245.0-255.0   9   1.28   5.29
255.0-265.0   6   1.21   6.98
265.0-275.0   6   2.45   7.30
275.0-285.0   9   1.20   8.40
285.0-295.0   8   3.16   8.21
295.0-305.0   4   1.23  11.43
305.0-315.0   5   3.90  11.38
315.0-325.0   2   0.40   7.80
325.0-335.0 N/A    N/A    N/A
335.0-345.0   2   0.25   6.85
345.0-355.0   2   1.50   6.10
