355.0-005.0   1    N/A   1.50
005.0-015.0   1    N/A   1.10
015.0-025.0   3   0.80   3.40
025.0-035.0   6   1.33   4.13
035.0-045.0   7   2.13   4.44
045.0-055.0  10   1.79   4.33
055.0-065.0   5   3.44   3.74
065.0-075.0   6   2.11   2.45
075.0-085.0   6   1.79   4.02
085.0-095.0   3   0.94   4.77
095.0-105.0   4   2.08   3.75
105.0-115.0   1    N/A   6.40
115.0-125.0   2   1.00   3.80
125.0-135.0   2   0.15   5.95
135.0-145.0 N/A    N/A    N/A
145.0-155.0   3   1.37   5.43
155.0-165.0   3   3.11   6.03
165.0-175.0 N/A    N/A    N/A
175.0-185.0   1    N/A   9.20
185.0-195.0   1    N/A   4.60
195.0-205.0   3   2.76   4.50
205.0-215.0   4   2.96   4.38
215.0-225.0   7   2.97   5.43
225.0-235.0   7   1.30   3.29
235.0-245.0   8   2.63   4.92
245.0-255.0   5   4.78   6.96
255.0-265.0   5   2.79  10.96
265.0-275.0   7   2.88  11.69
275.0-285.0   3   1.46  10.07
285.0-295.0   2   1.85   8.25
295.0-305.0   1    N/A  11.80
305.0-315.0   3   1.98   9.30
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   1.56   8.63
335.0-345.0   2   0.00   6.00
345.0-355.0   1    N/A   3.80
