355.0-005.0   5   2.21   6.30
005.0-015.0   2   3.40   4.20
015.0-025.0   4   0.73   2.88
025.0-035.0 N/A    N/A    N/A
035.0-045.0   5   2.50   4.74
045.0-055.0   2   2.95   9.55
055.0-065.0   1    N/A   6.90
065.0-075.0   6   2.41   4.13
075.0-085.0   3   2.03   4.77
085.0-095.0   9   2.46   3.93
095.0-105.0   5   2.87   4.06
105.0-115.0   3   0.41   5.37
115.0-125.0   5   2.93   6.84
125.0-135.0   3   0.78   8.97
135.0-145.0   1    N/A   8.60
145.0-155.0   1    N/A   7.50
155.0-165.0   6   2.28   5.65
165.0-175.0   3   0.16   8.40
175.0-185.0   5   2.04   6.28
185.0-195.0   2   0.70   4.60
195.0-205.0   3   4.61   8.97
205.0-215.0   1    N/A   7.40
215.0-225.0   4   3.26   5.23
225.0-235.0   2   1.55   1.55
235.0-245.0   2   2.05   8.35
245.0-255.0   4   3.11  10.72
255.0-265.0   4   2.37  12.08
265.0-275.0   6   2.56   8.82
275.0-285.0   6   1.94   9.18
285.0-295.0   6   3.31   8.95
295.0-305.0   4   1.93  12.27
305.0-315.0   3   2.90  11.30
315.0-325.0   2   0.20   9.20
325.0-335.0   1    N/A   9.20
335.0-345.0   5   2.40   7.12
345.0-355.0   4   2.12   6.95
