355.0-005.0   1    N/A   9.70
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   3.00
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0 N/A    N/A    N/A
065.0-075.0   1    N/A   8.60
075.0-085.0   2   1.10   2.80
085.0-095.0   1    N/A   4.80
095.0-105.0   6   2.58   3.67
105.0-115.0  12   3.41   6.03
115.0-125.0  10   3.68   8.25
125.0-135.0   8   1.50   9.49
135.0-145.0   8   1.22   8.88
145.0-155.0   8   4.64   8.59
155.0-165.0   4   2.65   9.57
165.0-175.0   2   1.45   7.55
175.0-185.0   1    N/A   4.50
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   6.50
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   1    N/A   8.60
255.0-265.0 N/A    N/A    N/A
265.0-275.0   2   5.00   7.60
275.0-285.0   2   1.20   4.00
285.0-295.0   8   4.75  10.02
295.0-305.0  14   4.45   9.53
305.0-315.0  10   4.32  10.12
315.0-325.0   8   1.89  11.19
325.0-335.0   9   5.83  12.02
335.0-345.0   6   2.67  12.75
345.0-355.0   2   0.95  17.35
