355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   3.00
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0 N/A    N/A    N/A
065.0-075.0   2   0.35   5.75
075.0-085.0   2   1.80   3.00
085.0-095.0   4   2.11   6.15
095.0-105.0  14   2.53   4.90
105.0-115.0   7   1.49   6.36
115.0-125.0   8   3.47   6.78
125.0-135.0   5   4.55   6.40
135.0-145.0   7   2.77   8.60
145.0-155.0   4   2.14  13.60
155.0-165.0   2   2.40  12.30
165.0-175.0   1    N/A   2.90
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   6.50
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   1    N/A   8.80
255.0-265.0   2   2.40   5.30
265.0-275.0   2   4.20  10.80
275.0-285.0   6   3.31   9.67
285.0-295.0  12   3.60   7.31
295.0-305.0  11   4.19   7.43
305.0-315.0   5   1.69  11.24
315.0-325.0   7   2.44   9.21
325.0-335.0   5   1.18  10.88
335.0-345.0   4   2.02  14.88
345.0-355.0   1    N/A   8.90
