355.0-005.0   1    N/A   6.20
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   2.20   6.80
035.0-045.0   2   0.90  10.20
045.0-055.0   3   3.04  15.20
055.0-065.0   8   0.91  13.04
065.0-075.0   6   3.26   9.02
075.0-085.0  14   3.04   8.91
085.0-095.0  15   2.86   8.03
095.0-105.0   4   1.46  11.30
105.0-115.0   3   1.82  12.67
115.0-125.0   4   3.77  11.42
125.0-135.0   2   0.50  10.60
135.0-145.0   2   0.40   8.70
145.0-155.0   1    N/A  10.00
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A   5.10
175.0-185.0   1    N/A   4.70
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   1.10   2.70
215.0-225.0   1    N/A   3.30
225.0-235.0   3   2.13   3.77
235.0-245.0   4   1.56   5.45
245.0-255.0   6   2.47   9.30
255.0-265.0   9   2.65   8.78
265.0-275.0  16   1.47   7.13
275.0-285.0  12   2.00   6.16
285.0-295.0   2   0.20   7.70
295.0-305.0   4   1.35   8.28
305.0-315.0   4   2.77   7.88
315.0-325.0   2   2.05  10.15
325.0-335.0   1    N/A   3.30
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A   6.60
