355.0-005.0   1    N/A   7.80
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   1.95   6.75
025.0-035.0   1    N/A  11.70
035.0-045.0   1    N/A   6.90
045.0-055.0   4   1.84   4.12
055.0-065.0   3   3.71   9.43
065.0-075.0   7   3.52   9.01
075.0-085.0   6   2.61   9.15
085.0-095.0   4   2.53   6.03
095.0-105.0   6   2.23   4.68
105.0-115.0   7   2.71   3.70
115.0-125.0   3   0.79   1.30
125.0-135.0   4   1.17   2.23
135.0-145.0   3   2.05   3.27
145.0-155.0   3   2.34   3.00
155.0-165.0   1    N/A   0.40
165.0-175.0   2   1.45   4.05
175.0-185.0   1    N/A   0.40
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   1.60   3.60
205.0-215.0   1    N/A   8.10
215.0-225.0 N/A    N/A    N/A
225.0-235.0   4   0.86   1.80
235.0-245.0   3   0.71   4.37
245.0-255.0   4   2.84   5.10
255.0-265.0   6   2.44   7.77
265.0-275.0   5   2.12  13.48
275.0-285.0   6   3.48   6.77
285.0-295.0   7   4.47   5.56
295.0-305.0   3   1.34   7.60
305.0-315.0   3   3.89  12.03
315.0-325.0   7   3.75   8.24
325.0-335.0   3   1.83   7.13
335.0-345.0   1    N/A   1.00
345.0-355.0   2   1.90   5.70
