355.0-005.0   4   2.84   3.02
005.0-015.0   3   3.60   3.93
015.0-025.0   4   2.41   3.35
025.0-035.0   1    N/A  10.00
035.0-045.0   1    N/A   9.10
045.0-055.0   3   1.60   3.07
055.0-065.0 N/A    N/A    N/A
065.0-075.0   1    N/A   6.50
075.0-085.0   3   1.44   3.60
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0   4   2.60   6.53
115.0-125.0   2   0.45   2.65
125.0-135.0   2   1.30   2.70
135.0-145.0   3   1.89   4.03
145.0-155.0 N/A    N/A    N/A
155.0-165.0   3   2.98   7.57
165.0-175.0   1    N/A   6.20
175.0-185.0   4   2.34   6.10
185.0-195.0   3   2.28   5.67
195.0-205.0   3   1.18   2.63
205.0-215.0   2   3.75   6.35
215.0-225.0   1    N/A   3.90
225.0-235.0   3   1.32   2.37
235.0-245.0 N/A    N/A    N/A
245.0-255.0   1    N/A   4.20
255.0-265.0   2   1.60   1.80
265.0-275.0   1    N/A   5.00
275.0-285.0 N/A    N/A    N/A
285.0-295.0   3   3.27  10.37
295.0-305.0   3   2.58   5.77
305.0-315.0   2   0.25   5.95
315.0-325.0   3   1.36   8.40
325.0-335.0 N/A    N/A    N/A
335.0-345.0   3   1.64   5.13
345.0-355.0   1    N/A   3.30
