355.0-005.0   3   0.96   6.40
005.0-015.0   4   1.92   6.57
015.0-025.0   3   0.92   7.30
025.0-035.0   5   2.44   9.78
035.0-045.0   5   3.26   9.82
045.0-055.0   3   3.19  14.17
055.0-065.0   5   1.56  12.52
065.0-075.0   4   1.04   9.55
075.0-085.0   5   2.91   9.78
085.0-095.0   8   2.32   8.09
095.0-105.0   5   1.69   8.48
105.0-115.0   2   2.75   8.35
115.0-125.0   4   1.37   9.72
125.0-135.0   2   2.85   8.25
135.0-145.0   2   0.90   8.40
145.0-155.0   3   3.87   7.47
155.0-165.0   3   2.68  12.10
165.0-175.0   1    N/A  10.20
175.0-185.0   3   0.62   8.20
185.0-195.0   4   1.73   5.90
195.0-205.0   1    N/A   2.30
205.0-215.0   6   0.58   4.67
215.0-225.0   4   1.47   4.70
225.0-235.0   5   1.58   3.40
235.0-245.0   2   0.15   5.05
245.0-255.0   5   1.93   6.48
255.0-265.0   5   2.74   8.48
265.0-275.0   9   1.89   8.60
275.0-285.0   4   1.54   7.03
285.0-295.0   4   1.76   5.18
295.0-305.0   4   0.45   9.68
305.0-315.0   2   0.70   9.50
315.0-325.0   2   1.35   8.35
325.0-335.0   3   2.62   5.03
335.0-345.0   3   0.78   6.17
345.0-355.0   1    N/A   6.80
