355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   3.05   6.35
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   3.05   3.45
045.0-055.0   2   2.40   8.00
055.0-065.0   4   2.35   9.70
065.0-075.0   6   2.51  10.43
075.0-085.0   7   1.64   7.73
085.0-095.0  12   2.74   6.98
095.0-105.0   9   1.74   5.63
105.0-115.0   6   1.10   4.73
115.0-125.0   9   2.74   6.27
125.0-135.0   3   0.49   8.60
135.0-145.0   1    N/A   8.00
145.0-155.0   3   2.15   4.37
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   1.95   4.75
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   1.70   2.20
225.0-235.0   1    N/A   8.10
235.0-245.0   3   2.01   2.60
245.0-255.0   4   1.67   3.00
255.0-265.0   6   2.58   5.53
265.0-275.0  11   1.12   7.66
275.0-285.0   9   1.58   4.21
285.0-295.0   7   1.75   3.24
295.0-305.0  10   1.90   4.94
305.0-315.0   7   2.63   6.60
315.0-325.0 N/A    N/A    N/A
325.0-335.0   4   1.39   4.22
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
