355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   1    N/A   7.80
045.0-055.0   2   0.55  10.05
055.0-065.0   3  16.51  17.87
065.0-075.0   7   5.45  10.20
075.0-085.0  13   1.84   4.69
085.0-095.0  11   1.93   5.08
095.0-105.0  10   1.78   4.88
105.0-115.0   9   2.34   5.14
115.0-125.0   1    N/A   7.10
125.0-135.0   1    N/A   5.80
135.0-145.0   2   2.15   2.55
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   1    N/A   2.00
225.0-235.0   1    N/A   7.30
235.0-245.0   2   7.55   9.85
245.0-255.0   4   2.51   5.45
255.0-265.0   9   7.30   9.53
265.0-275.0  15   2.62  11.89
275.0-285.0   9   2.39   7.68
285.0-295.0  10   3.06   9.53
295.0-305.0   5   4.12  13.74
305.0-315.0   2   3.30  16.30
315.0-325.0   2   0.50   8.40
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
