355.0-005.0   2   0.75   5.75
005.0-015.0   2   1.20   5.70
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   0.45   4.25
035.0-045.0   1    N/A   5.30
045.0-055.0   5   1.93   4.22
055.0-065.0   7   1.40   5.01
065.0-075.0   7   1.85   3.89
075.0-085.0   6   0.73   1.02
085.0-095.0   6   2.45   3.85
095.0-105.0   5   1.02   2.52
105.0-115.0   3   1.97   3.27
115.0-125.0   4   0.94   3.17
125.0-135.0   5   1.67   4.10
135.0-145.0   3   4.51   6.20
145.0-155.0   2   1.30   6.30
155.0-165.0   1    N/A   0.80
165.0-175.0   1    N/A   4.50
175.0-185.0   2   2.60   3.00
185.0-195.0   2   2.45   9.65
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   2.85   5.25
215.0-225.0   1    N/A  11.80
225.0-235.0   4   4.20   9.78
235.0-245.0   7   3.78   6.57
245.0-255.0   5   2.74   9.30
255.0-265.0   7   2.85  15.27
265.0-275.0   8   1.21   9.91
275.0-285.0   2   2.30  11.00
285.0-295.0   6   2.20   7.68
295.0-305.0   4   0.72  10.90
305.0-315.0   4   1.46   9.10
315.0-325.0   4   1.97   9.05
325.0-335.0   2   1.85   9.45
335.0-345.0   1    N/A   0.80
345.0-355.0   1    N/A   6.90
