355.0-005.0   1    N/A   2.10
005.0-015.0   3   1.71   5.90
015.0-025.0   3   4.10   8.23
025.0-035.0   8   3.09   8.64
035.0-045.0   4   2.12  10.10
045.0-055.0   6   2.21   8.55
055.0-065.0   3   1.06   6.20
065.0-075.0   5   2.48   4.14
075.0-085.0   3   1.14   8.07
085.0-095.0   5   1.52   7.12
095.0-105.0   1    N/A  10.00
105.0-115.0   6   2.72   6.88
115.0-125.0   2   2.90   6.00
125.0-135.0   3   3.25   5.93
135.0-145.0   1    N/A   6.00
145.0-155.0   2   4.35   9.25
155.0-165.0   2   2.60   3.30
165.0-175.0   2   3.10   5.10
175.0-185.0   1    N/A   5.90
185.0-195.0   2   0.80   7.40
195.0-205.0   4   3.76   7.35
205.0-215.0   6   4.02   7.10
215.0-225.0   5   3.03   6.56
225.0-235.0   6   4.09   6.58
235.0-245.0   4   2.29   7.08
245.0-255.0   3   5.56   9.20
255.0-265.0   4   2.83   6.67
265.0-275.0   4   5.39   9.72
275.0-285.0   3   2.57   9.80
285.0-295.0   4   2.80   6.25
295.0-305.0   4   4.32   7.92
305.0-315.0   3   2.53   7.40
315.0-325.0   1    N/A  10.50
325.0-335.0   2   5.00  16.80
335.0-345.0   2   0.75   3.15
345.0-355.0   2   0.35  12.75
