355.0-005.0   5   1.29   5.36
005.0-015.0   2   1.10   5.60
015.0-025.0   6   4.12   8.80
025.0-035.0   1    N/A   8.10
035.0-045.0   2   0.85   9.05
045.0-055.0   3   2.18  10.70
055.0-065.0   7   3.00   9.53
065.0-075.0   4   2.75   6.85
075.0-085.0   7   1.79   6.17
085.0-095.0   5   3.78   8.90
095.0-105.0   2   0.25   3.65
105.0-115.0   1    N/A   7.70
115.0-125.0   4   1.39   4.83
125.0-135.0   1    N/A   2.00
135.0-145.0   2   2.65   6.45
145.0-155.0   4   1.87   5.72
155.0-165.0 N/A    N/A    N/A
165.0-175.0   2   3.35   8.15
175.0-185.0   5   3.44   6.64
185.0-195.0   2   1.70   7.30
195.0-205.0   4   4.79   7.00
205.0-215.0   3   2.42   6.60
215.0-225.0   2   0.60  14.00
225.0-235.0   2   4.65   7.65
235.0-245.0   7   2.70   6.63
245.0-255.0   3   4.74   9.13
255.0-265.0   5   4.01   8.32
265.0-275.0   8   2.17   6.54
275.0-285.0   2   2.00   5.30
285.0-295.0   2   1.25   7.05
295.0-305.0   3   0.73   7.80
305.0-315.0   2   4.60   9.30
315.0-325.0   2   4.55   8.75
325.0-335.0   4   2.61  10.10
335.0-345.0 N/A    N/A    N/A
345.0-355.0   2   0.80   7.20
