355.0-005.0   3   2.13   8.63
005.0-015.0   3   0.26   9.23
015.0-025.0   5   2.05   9.94
025.0-035.0   5   3.02  12.64
035.0-045.0   5   2.18  13.22
045.0-055.0   2   0.35  11.25
055.0-065.0   7   1.84  12.29
065.0-075.0   8   2.70  11.06
075.0-085.0   5   1.38   7.18
085.0-095.0   2   1.00   9.80
095.0-105.0   2   0.65   6.25
105.0-115.0   1    N/A   7.80
115.0-125.0   4   0.84   7.85
125.0-135.0   2   1.45   4.55
135.0-145.0   3   1.44   8.80
145.0-155.0   3   1.06   8.47
155.0-165.0   2   2.40   3.80
165.0-175.0   4   1.11   6.88
175.0-185.0   3   1.08   6.10
185.0-195.0   3   0.21   5.87
195.0-205.0   5   1.40   4.56
205.0-215.0   4   0.58   5.20
215.0-225.0   5   1.01   3.60
225.0-235.0   3   1.16   4.37
235.0-245.0   4   1.86   4.65
245.0-255.0   8   2.19   4.99
255.0-265.0   6   1.04   8.75
265.0-275.0   4   2.43  10.43
275.0-285.0   2   2.05   5.45
285.0-295.0   1    N/A   4.80
295.0-305.0   4   1.39  11.45
305.0-315.0   1    N/A  11.20
315.0-325.0   4   1.16   6.38
325.0-335.0   2   0.80   8.90
335.0-345.0   3   2.87   5.77
345.0-355.0   4   1.40   6.65
