355.0-005.0   5   1.41   6.80
005.0-015.0   8   2.66   9.66
015.0-025.0   3   2.22  12.37
025.0-035.0   7   2.73  13.96
035.0-045.0   3   2.63  15.20
045.0-055.0   5   1.64  10.68
055.0-065.0   5   1.35   8.40
065.0-075.0   1    N/A   7.20
075.0-085.0   1    N/A   8.10
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  10.90
105.0-115.0   4   1.13   7.35
115.0-125.0   1    N/A   6.90
125.0-135.0   4   1.78   9.72
135.0-145.0   5   2.50   5.78
145.0-155.0   4   1.20   6.98
155.0-165.0   5   3.24   6.00
165.0-175.0   7   2.75   4.64
175.0-185.0   4   0.79   5.70
185.0-195.0   7   1.87   4.26
195.0-205.0   4   1.42   4.00
205.0-215.0   6   1.60   4.50
215.0-225.0   3   2.06   5.20
225.0-235.0   4   2.12   5.52
235.0-245.0   5   0.65   2.86
245.0-255.0   3   3.35   9.07
255.0-265.0   1    N/A   7.10
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A   6.80
285.0-295.0   2   0.30   7.50
295.0-305.0   3   0.90   5.73
305.0-315.0   3   2.05  10.13
315.0-325.0   4   1.52   6.00
325.0-335.0   6   2.23   7.63
335.0-345.0   5   1.89   6.92
345.0-355.0   6   1.41   6.77
