355.0-005.0   2   2.50   9.10
005.0-015.0   3   0.62  15.17
015.0-025.0   2   1.45  12.85
025.0-035.0   2   1.45  18.15
035.0-045.0   3   2.29  17.67
045.0-055.0 N/A    N/A    N/A
055.0-065.0   1    N/A  21.70
065.0-075.0   2   4.20  12.80
075.0-085.0   3   1.60  13.63
085.0-095.0   4   1.50  13.65
095.0-105.0   8   4.31  11.59
105.0-115.0   5   1.88   8.98
115.0-125.0   8   3.56   7.80
125.0-135.0   2   0.95  11.55
135.0-145.0   5   1.69  12.54
145.0-155.0   2   1.90  14.20
155.0-165.0   7   3.75  13.31
165.0-175.0   5   2.52  11.20
175.0-185.0   1    N/A   2.80
185.0-195.0   4   2.44   5.30
195.0-205.0   2   0.75   1.95
205.0-215.0   1    N/A   3.70
215.0-225.0   4   2.15   3.75
225.0-235.0 N/A    N/A    N/A
235.0-245.0   1    N/A   0.60
245.0-255.0   1    N/A   1.00
255.0-265.0   3   0.68   2.83
265.0-275.0   2   0.35   2.65
275.0-285.0   5   1.39   2.78
285.0-295.0  10   1.49   1.94
295.0-305.0   5   1.92   2.22
305.0-315.0   6   1.08   3.13
315.0-325.0   3   3.38   6.13
325.0-335.0   3   0.42   5.97
335.0-345.0   8   3.92   9.28
345.0-355.0   5   2.24   9.70
