355.0-005.0  14   1.49   7.50
005.0-015.0  13   2.32  13.11
015.0-025.0  16   1.30  12.41
025.0-035.0  23   3.43  15.00
035.0-045.0  33   3.06  13.70
045.0-055.0  66   3.57  14.72
055.0-065.0  84   2.77  16.43
065.0-075.0 105   3.00  15.28
075.0-085.0 101   2.26  14.12
085.0-095.0 104   2.53  12.07
095.0-105.0  82   2.52  11.41
105.0-115.0  67   2.13  11.03
115.0-125.0  61   2.09  10.01
125.0-135.0  40   1.73   9.66
135.0-145.0  35   1.77   9.56
145.0-155.0  23   2.26  10.17
155.0-165.0  18   2.46   7.82
165.0-175.0  17   2.39   8.23
175.0-185.0  11   2.13   9.70
185.0-195.0  14   3.12   8.40
195.0-205.0  16   1.98   6.92
205.0-215.0  17   1.62   8.80
215.0-225.0  28   2.61   5.43
225.0-235.0  53   2.29   5.15
235.0-245.0  73   1.97   3.48
245.0-255.0  85   1.34   2.45
255.0-265.0  99   2.07   2.67
265.0-275.0 125   1.53   2.33
275.0-285.0  71   1.31   2.19
285.0-295.0  90   1.29   1.90
295.0-305.0  60   1.71   2.39
305.0-315.0  55   1.34   3.37
315.0-325.0  40   2.01   6.26
325.0-335.0  26   2.12   7.37
335.0-345.0  17   2.40   7.35
345.0-355.0  18   3.37   6.70
