355.0-005.0   1    N/A   6.60
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   2.15  12.15
045.0-055.0   2   4.40  20.10
055.0-065.0   3   0.70  15.00
065.0-075.0   9   2.42  18.13
075.0-085.0  14   3.49  17.40
085.0-095.0  11   2.64  11.83
095.0-105.0  11   2.49  12.11
105.0-115.0   8   3.80  12.36
115.0-125.0   2   0.90   9.50
125.0-135.0 N/A    N/A    N/A
135.0-145.0   3   0.54   5.70
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0   1    N/A   3.00
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   4.20   4.40
225.0-235.0   2   0.75   9.55
235.0-245.0   1    N/A   2.00
245.0-255.0   5   1.21   2.62
255.0-265.0  11   2.74   5.99
265.0-275.0  13   1.83   5.61
275.0-285.0  10   2.22   5.50
285.0-295.0  12   2.66   5.41
295.0-305.0   5   2.99  10.24
305.0-315.0   1    N/A  10.40
315.0-325.0   3   2.16   5.50
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
