355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  13.60
015.0-025.0   3   3.53  14.57
025.0-035.0   3   3.59  17.77
035.0-045.0   1    N/A  18.50
045.0-055.0   4   1.57  21.60
055.0-065.0   3   2.70  19.40
065.0-075.0   8   1.25  16.15
075.0-085.0   9   4.34  18.54
085.0-095.0  14   2.58  11.57
095.0-105.0   4   2.84  12.20
105.0-115.0   3   1.25  13.83
115.0-125.0   1    N/A  14.00
125.0-135.0   3   1.25  12.73
135.0-145.0   4   3.72  10.70
145.0-155.0   2   0.65   5.05
155.0-165.0   2   2.45   5.95
165.0-175.0   2   1.50   5.00
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A   2.90
195.0-205.0   3   1.90   2.50
205.0-215.0 N/A    N/A    N/A
215.0-225.0   4   0.22   2.30
225.0-235.0   4   1.35   3.90
235.0-245.0   2   0.45   2.95
245.0-255.0   6   2.41   8.97
255.0-265.0   5   3.89   8.24
265.0-275.0  16   2.87   6.81
275.0-285.0   8   2.53   9.24
285.0-295.0   3   1.83   8.43
295.0-305.0   2   1.50  14.50
305.0-315.0   2   0.25  12.15
315.0-325.0   5   2.69   9.68
325.0-335.0   2   0.70   8.00
335.0-345.0   2   0.15  12.55
345.0-355.0   2   0.95  11.85
