355.0-005.0   2   0.60   0.70
005.0-015.0   1    N/A   3.10
015.0-025.0   2   0.25   3.35
025.0-035.0  10   2.84   4.18
035.0-045.0  13   1.92   3.10
045.0-055.0   9   1.85   6.24
055.0-065.0   9   1.68   4.61
065.0-075.0   3   1.18   2.30
075.0-085.0   1    N/A   3.60
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A   1.20
105.0-115.0   1    N/A   0.30
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A   2.80
165.0-175.0   2   2.40   3.90
175.0-185.0   1    N/A   9.90
185.0-195.0   2   0.20   4.00
195.0-205.0   2   1.00   4.90
205.0-215.0   4   1.70   4.65
215.0-225.0  14   1.29   2.58
225.0-235.0   9   1.58   3.27
235.0-245.0   7   2.19   3.37
245.0-255.0   7   1.77   3.14
255.0-265.0   3   2.14   4.80
265.0-275.0   1    N/A   3.00
275.0-285.0   1    N/A   5.90
285.0-295.0   1    N/A   7.70
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A   1.80
345.0-355.0   2   1.60   4.70
