355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A  11.90
025.0-035.0   1    N/A   9.70
035.0-045.0 N/A    N/A    N/A
045.0-055.0   2   0.30  10.10
055.0-065.0   5   4.28  17.32
065.0-075.0   5   4.24  14.86
075.0-085.0  12   4.47   9.95
085.0-095.0   6   3.02   8.92
095.0-105.0   7   2.62  11.14
105.0-115.0   7   3.30   8.49
115.0-125.0   1    N/A  11.20
125.0-135.0   1    N/A   9.10
135.0-145.0   1    N/A   6.00
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A   2.00
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A  10.10
205.0-215.0 N/A    N/A    N/A
215.0-225.0   1    N/A   1.70
225.0-235.0   1    N/A   6.90
235.0-245.0   4   4.67   4.65
245.0-255.0   4   2.24   1.70
255.0-265.0   8   3.16   3.54
265.0-275.0   8   0.92   1.86
275.0-285.0   8   2.44   2.65
285.0-295.0   8   2.17   1.80
295.0-305.0   4   1.20   1.80
305.0-315.0 N/A    N/A    N/A
315.0-325.0   2   1.50   2.50
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A   2.80
