355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   0.30   5.80
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   6.50
035.0-045.0   2   1.05   3.35
045.0-055.0   1    N/A   6.00
055.0-065.0   2   0.20   3.50
065.0-075.0   1    N/A   2.90
075.0-085.0   2   0.90   4.50
085.0-095.0   4   2.99   5.45
095.0-105.0   4   0.83   1.20
105.0-115.0   8   5.15   7.99
115.0-125.0   5   3.96   5.08
125.0-135.0   6   2.97   7.05
135.0-145.0   3   3.78   5.07
145.0-155.0   2   1.15   8.55
155.0-165.0   2   2.15   8.55
165.0-175.0   1    N/A  13.00
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   3.70   7.50
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   4.70
215.0-225.0 N/A    N/A    N/A
225.0-235.0   3   3.12   7.73
235.0-245.0   2   0.10   3.10
245.0-255.0   1    N/A   3.50
255.0-265.0   1    N/A   7.00
265.0-275.0   3   1.98   6.80
275.0-285.0   4   2.87   3.50
285.0-295.0   5   0.51   3.06
295.0-305.0   7   1.60   3.94
305.0-315.0   7   5.03  10.54
315.0-325.0   4   1.01   9.65
325.0-335.0   3   1.76   8.23
335.0-345.0   2   3.15   6.75
345.0-355.0   1    N/A   7.60
