355.0-005.0   3   1.84   7.13
005.0-015.0   3   1.61   6.43
015.0-025.0   4   2.68   3.05
025.0-035.0  13   2.68   5.13
035.0-045.0   6   1.60   4.70
045.0-055.0   7   1.47   4.59
055.0-065.0   3   0.90   3.67
065.0-075.0   1    N/A   3.30
075.0-085.0   3   1.41   4.37
085.0-095.0   1    N/A   3.00
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A   3.10
125.0-135.0 N/A    N/A    N/A
135.0-145.0   4   1.42   2.93
145.0-155.0   1    N/A   3.30
155.0-165.0   4   1.76   8.30
165.0-175.0   4   3.11   8.18
175.0-185.0   2   1.60   3.00
185.0-195.0   3   1.73   4.53
195.0-205.0   4   1.34   2.77
205.0-215.0   9   1.70   3.40
215.0-225.0   9   2.92   4.02
225.0-235.0   6   1.34   4.70
235.0-245.0   3   0.22   0.50
245.0-255.0   2   0.25   4.15
255.0-265.0   2   1.20   6.80
265.0-275.0   2   5.80   7.10
275.0-285.0   1    N/A  10.40
285.0-295.0 N/A    N/A    N/A
295.0-305.0   1    N/A   7.00
305.0-315.0 N/A    N/A    N/A
315.0-325.0   3   2.12   6.90
325.0-335.0   2   3.50   4.50
335.0-345.0   4   1.61   5.88
345.0-355.0   3   0.82   7.73
