355.0-005.0 N/A    N/A    N/A
005.0-015.0   3   1.59  16.13
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  18.50
035.0-045.0   2   2.95  13.95
045.0-055.0   2   1.50  19.20
055.0-065.0   5   7.50  13.68
065.0-075.0   2   1.25   6.85
075.0-085.0   5   1.28   7.84
085.0-095.0   6   1.35   8.83
095.0-105.0   5   2.12   6.86
105.0-115.0  10   2.44   5.80
115.0-125.0   6   1.17   4.88
125.0-135.0   6   0.87   6.55
135.0-145.0   4   3.58   5.53
145.0-155.0   2   2.50   7.20
155.0-165.0   2   1.35   5.25
165.0-175.0   3   1.78   6.47
175.0-185.0 N/A    N/A    N/A
185.0-195.0   3   3.22   4.87
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  10.10
215.0-225.0 N/A    N/A    N/A
225.0-235.0   4   4.23   5.90
235.0-245.0   3   2.51   4.73
245.0-255.0   3   0.41   1.57
255.0-265.0   3   2.76   3.90
265.0-275.0   5   0.61   2.76
275.0-285.0   6   1.85   3.32
285.0-295.0   8   0.94   1.84
295.0-305.0   8   1.35   3.76
305.0-315.0   7   2.48   5.77
315.0-325.0   5   1.62   6.30
325.0-335.0   3   1.79   7.00
335.0-345.0   2   3.35   6.05
345.0-355.0   3   3.46   7.03
