355.0-005.0   6   1.72   5.50
005.0-015.0  16   3.80   8.59
015.0-025.0  10   2.56  12.29
025.0-035.0   5   1.02  12.70
035.0-045.0   4   2.11  16.80
045.0-055.0   1    N/A  19.70
055.0-065.0   2   4.10  21.80
065.0-075.0   1    N/A  16.80
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   2   1.45  14.55
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A   3.90
125.0-135.0 N/A    N/A    N/A
135.0-145.0   5   1.13   3.70
145.0-155.0   4   0.73   2.75
155.0-165.0   5   0.92   4.64
165.0-175.0   5   2.61   7.70
175.0-185.0   4   1.15   6.48
185.0-195.0  13   1.26   2.55
195.0-205.0  12   1.32   2.66
205.0-215.0   5   0.65   1.24
215.0-225.0   5   0.94   1.50
225.0-235.0   2   0.10   2.70
235.0-245.0   1    N/A   0.90
245.0-255.0   2   1.00   2.60
255.0-265.0 N/A    N/A    N/A
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A   2.70
285.0-295.0   1    N/A   2.00
295.0-305.0 N/A    N/A    N/A
305.0-315.0   1    N/A   3.10
315.0-325.0   4   2.43   3.80
325.0-335.0   4   0.98   3.15
335.0-345.0   4   0.97   3.60
345.0-355.0   6   1.40   4.57
