355.0-005.0 192   1.73   7.58
005.0-015.0 202   1.94  11.17
015.0-025.0 210   1.87  13.46
025.0-035.0 254   2.22  14.88
035.0-045.0 242   2.12  15.44
045.0-055.0 260   2.06  15.74
055.0-065.0 352   2.50  15.11
065.0-075.0 358   1.96  13.38
075.0-085.0 354   2.22  12.15
085.0-095.0 390   1.90  10.46
095.0-105.0 322   1.70   9.08
105.0-115.0 290   1.65   8.26
115.0-125.0 270   1.53   7.64
125.0-135.0 172   1.30   8.36
135.0-145.0 198   1.59   8.24
145.0-155.0 168   1.41   8.80
155.0-165.0 166   1.62   7.93
165.0-175.0 162   1.64   7.25
175.0-185.0 176   1.64   6.05
185.0-195.0 186   1.58   5.19
195.0-205.0 208   1.31   4.13
205.0-215.0 228   1.07   3.65
215.0-225.0 224   1.08   2.64
225.0-235.0 232   1.04   2.65
235.0-245.0 294   1.12   2.45
245.0-255.0 326   1.23   2.92
255.0-265.0 350   1.37   4.06
265.0-275.0 428   1.17   3.81
275.0-285.0 300   1.24   3.34
285.0-295.0 338   1.22   3.13
295.0-305.0 306   1.33   4.64
305.0-315.0 212   1.17   6.02
315.0-325.0 206   1.26   5.71
325.0-335.0 186   1.33   5.97
335.0-345.0 172   1.36   6.10
345.0-355.0 170   1.43   6.85
