355.0-005.0   2   0.05   5.65
005.0-015.0   1    N/A  11.30
015.0-025.0   3   1.70  11.20
025.0-035.0   4   1.69  14.50
035.0-045.0   4   1.66  15.53
045.0-055.0   4   2.58  15.50
055.0-065.0   5   2.78  16.92
065.0-075.0   9   1.94  15.72
075.0-085.0   5   4.73  16.70
085.0-095.0   1    N/A  16.90
095.0-105.0   1    N/A  17.80
105.0-115.0   2   0.05  21.45
115.0-125.0   2   2.05  16.45
125.0-135.0   1    N/A  16.60
135.0-145.0 N/A    N/A    N/A
145.0-155.0   2   2.10  12.70
155.0-165.0   3   2.92   9.47
165.0-175.0   1    N/A   9.60
175.0-185.0   2   0.25   4.85
185.0-195.0   1    N/A   1.90
195.0-205.0   3   1.36   2.03
205.0-215.0   4   1.11   1.38
215.0-225.0   3   0.21   1.63
225.0-235.0   4   1.09   2.17
235.0-245.0   4   0.67   2.22
245.0-255.0   5   0.65   1.64
255.0-265.0  10   0.97   1.74
265.0-275.0   1    N/A   2.90
275.0-285.0   2   0.60   3.80
285.0-295.0 N/A    N/A    N/A
295.0-305.0   4   1.65   2.88
305.0-315.0   1    N/A   0.30
315.0-325.0 N/A    N/A    N/A
325.0-335.0   1    N/A   5.20
335.0-345.0   4   2.95   4.20
345.0-355.0   1    N/A   7.80
