355.0-005.0   3   1.54   9.27
005.0-015.0   8   1.88  13.51
015.0-025.0   6   3.70  16.60
025.0-035.0   3   2.47  18.30
035.0-045.0   4   1.71  19.17
045.0-055.0   1    N/A  24.60
055.0-065.0   5   3.67  16.86
065.0-075.0   2   4.50  19.20
075.0-085.0   2   2.00  16.20
085.0-095.0   4   2.96  18.55
095.0-105.0   5   2.15  13.76
105.0-115.0   6   2.60  12.65
115.0-125.0   4   2.35  13.47
125.0-135.0   5   2.52  11.98
135.0-145.0   5   3.01  12.12
145.0-155.0   1    N/A  15.60
155.0-165.0 N/A    N/A    N/A
165.0-175.0   4   1.68  14.32
175.0-185.0   3   3.15   9.13
185.0-195.0   7   1.96   6.69
195.0-205.0   6   1.59   3.38
205.0-215.0   4   1.40   3.75
215.0-225.0   3   0.31   1.97
225.0-235.0   2   0.95   2.15
235.0-245.0   3   1.89   2.87
245.0-255.0   3   1.72   3.97
255.0-265.0   3   2.42   5.57
265.0-275.0   2   1.95   5.35
275.0-285.0   5   2.78   6.72
285.0-295.0   7   1.93   8.27
295.0-305.0   5   1.04  14.94
305.0-315.0   3   4.69  12.07
315.0-325.0   7   3.68  10.63
325.0-335.0   1    N/A  12.60
335.0-345.0 N/A    N/A    N/A
345.0-355.0   4   0.98  10.05
