355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   0.40  17.80
035.0-045.0   1    N/A  18.80
045.0-055.0   3   0.88  25.90
055.0-065.0   8   2.79  18.76
065.0-075.0   6   5.32  18.68
075.0-085.0  14   6.66  16.29
085.0-095.0  15   2.67  11.33
095.0-105.0   4   2.18   9.85
105.0-115.0   3   2.56   6.23
115.0-125.0   3   0.78   4.73
125.0-135.0   2   1.95   5.05
135.0-145.0   2   1.05   4.25
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A   3.20
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   0.85   1.65
215.0-225.0   1    N/A   1.60
225.0-235.0   2   0.15   1.05
235.0-245.0   4   3.01   5.03
245.0-255.0   6   2.90   5.73
255.0-265.0   9   3.87   8.59
265.0-275.0  16   3.37   8.34
275.0-285.0  12   2.93   6.48
285.0-295.0   2   1.50  10.10
295.0-305.0   4   2.79  18.62
305.0-315.0   3   1.53  22.00
315.0-325.0   2   2.10  14.10
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A  15.50
