355.0-005.0   2   0.70   3.00
005.0-015.0   2   1.85   4.15
015.0-025.0   7   2.67   6.34
025.0-035.0  10   1.82   5.81
035.0-045.0  10   2.16   5.16
045.0-055.0   7   2.84   3.66
055.0-065.0   3   4.56   5.17
065.0-075.0   1    N/A   6.90
075.0-085.0   1    N/A   1.70
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0   2   2.25   3.95
155.0-165.0   4   2.23   4.58
165.0-175.0   4   2.91   4.20
175.0-185.0   1    N/A   8.30
185.0-195.0   3   2.87   7.17
195.0-205.0   6   2.77   3.57
205.0-215.0   8   2.34   6.40
215.0-225.0   9   2.56   4.24
225.0-235.0   7   2.90   5.61
235.0-245.0   4   1.91   3.20
245.0-255.0   4   1.45   4.50
255.0-265.0   1    N/A   3.30
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   0.00   5.40
335.0-345.0   4   2.11   4.12
345.0-355.0   4   0.92   3.33
