355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A  10.00
025.0-035.0   1    N/A   9.60
035.0-045.0   4   5.73  14.45
045.0-055.0   5   4.53  11.56
055.0-065.0   7   0.70  12.44
065.0-075.0  13   2.48  10.71
075.0-085.0   8   4.18  14.76
085.0-095.0   8   3.80  14.14
095.0-105.0   5   4.41   7.36
105.0-115.0 N/A    N/A    N/A
115.0-125.0   2   0.25   3.95
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A   4.60
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A   9.10
205.0-215.0   1    N/A   5.90
215.0-225.0   3   2.96   4.50
225.0-235.0   2   0.50   1.00
235.0-245.0   7   1.19   1.60
245.0-255.0  10   0.91   1.86
255.0-265.0   7   0.58   1.04
265.0-275.0   8   0.72   1.23
275.0-285.0  10   1.05   1.77
285.0-295.0   3   0.87   2.37
295.0-305.0   1    N/A   3.10
305.0-315.0   1    N/A   1.70
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A   1.70
345.0-355.0 N/A    N/A    N/A
