355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  13.80
015.0-025.0   3   2.80  11.13
025.0-035.0   4   1.99  12.80
035.0-045.0   6   2.51  16.63
045.0-055.0   7   1.45  16.43
055.0-065.0   8   2.12  16.82
065.0-075.0   5   3.23  15.84
075.0-085.0   6   4.99  15.80
085.0-095.0   4   3.62  18.98
095.0-105.0   4   1.57  15.53
105.0-115.0   7   2.25  14.83
115.0-125.0   4   4.32  15.45
125.0-135.0   1    N/A  17.10
135.0-145.0   2   1.10  14.70
145.0-155.0 N/A    N/A    N/A
155.0-165.0   2   3.20  15.40
165.0-175.0   2   1.55  20.05
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A  17.90
195.0-205.0   3   1.01  11.97
205.0-215.0   3   3.35   8.97
215.0-225.0   5   3.65   7.90
225.0-235.0   7   1.65   6.63
235.0-245.0   7   2.57   6.60
245.0-255.0   5   2.29   3.36
255.0-265.0   7   3.06   4.03
265.0-275.0   5   2.40   2.84
275.0-285.0   3   1.40   1.97
285.0-295.0   7   1.99   3.61
295.0-305.0   6   1.62   2.67
305.0-315.0   1    N/A   5.60
315.0-325.0   2   1.05   3.45
325.0-335.0 N/A    N/A    N/A
335.0-345.0   2   2.70   4.70
345.0-355.0   2   2.00   3.70
