355.0-005.0   2   3.40   8.30
005.0-015.0   2   2.15   9.05
015.0-025.0   3   0.54   8.80
025.0-035.0   4   1.19  11.45
035.0-045.0   4   1.93  14.60
045.0-055.0   4   1.81  17.27
055.0-065.0   5   2.84  15.34
065.0-075.0   7   1.63  14.97
075.0-085.0   5   2.78  15.34
085.0-095.0   8   2.78  12.02
095.0-105.0   2   0.45  11.05
105.0-115.0   4   2.91  14.42
115.0-125.0   5   2.49  14.38
125.0-135.0   1    N/A  10.00
135.0-145.0   3   1.47  14.03
145.0-155.0   3   3.58  14.47
155.0-165.0   3   5.02  18.70
165.0-175.0   3   2.52  18.23
175.0-185.0   2   0.35  16.35
185.0-195.0   2   0.95  10.35
195.0-205.0   3   2.74  10.87
205.0-215.0   3   1.86   7.13
215.0-225.0   4   2.12   5.90
225.0-235.0   4   0.41   6.38
235.0-245.0   6   1.09   6.28
245.0-255.0   3   1.97   6.57
255.0-265.0   7   1.90  11.01
265.0-275.0   8   1.69  10.00
275.0-285.0   4   2.58  12.08
285.0-295.0   4   2.12  13.43
295.0-305.0   4   3.80  16.75
305.0-315.0   2   1.30  17.10
315.0-325.0   3   0.16  12.20
325.0-335.0   3   0.86   7.23
335.0-345.0   3   2.54  10.67
345.0-355.0   3   1.16  11.17
