355.0-005.0   2   0.15   7.75
005.0-015.0   3   0.08   4.80
015.0-025.0   3   1.21   5.53
025.0-035.0  12   2.76  10.66
035.0-045.0  16   3.07  14.31
045.0-055.0  11   3.36  14.80
055.0-065.0  11   2.21  15.68
065.0-075.0   3   2.17  17.23
075.0-085.0   2  10.20  21.60
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  24.00
105.0-115.0   1    N/A  21.00
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A   6.00
165.0-175.0   2   2.80  10.30
175.0-185.0   1    N/A   8.60
185.0-195.0   4   1.83   6.40
195.0-205.0   3   1.68   6.97
205.0-215.0   6   3.36   6.58
215.0-225.0  15   1.85   4.61
225.0-235.0  12   1.93   4.34
235.0-245.0   8   1.98   4.31
245.0-255.0   9   1.60   5.38
255.0-265.0   3   0.82   9.83
265.0-275.0   2   4.35   7.75
275.0-285.0   1    N/A  12.90
285.0-295.0   1    N/A  12.50
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A  13.20
345.0-355.0   2   1.40   7.30
