355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   3.80   4.80
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0 N/A    N/A    N/A
045.0-055.0   2   0.40   3.10
055.0-065.0   1    N/A   4.00
065.0-075.0   2   0.55   1.85
075.0-085.0   6   2.37   4.85
085.0-095.0   9   1.46   2.36
095.0-105.0   5   4.62   4.76
105.0-115.0   3   1.43   3.30
115.0-125.0   6   1.97   3.62
125.0-135.0   2   2.35   7.85
135.0-145.0   1    N/A   1.70
145.0-155.0   3   2.38   3.10
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   0.10   5.90
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0 N/A    N/A    N/A
225.0-235.0   1    N/A   2.10
235.0-245.0   2   0.30   3.70
245.0-255.0   1    N/A   1.70
255.0-265.0   2   0.00   0.90
265.0-275.0  10   1.54   4.85
275.0-285.0   6   2.09   2.72
285.0-295.0   4   2.90   7.98
295.0-305.0   6   1.92   5.60
305.0-315.0   4   2.17   9.05
315.0-325.0 N/A    N/A    N/A
325.0-335.0   4   2.55   5.62
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
