355.0-005.0   1    N/A   9.30
005.0-015.0   1    N/A  10.60
015.0-025.0   3   0.12   9.53
025.0-035.0   6   2.69  11.52
035.0-045.0   8   2.84  15.76
045.0-055.0  10   2.88  16.50
055.0-065.0   5   3.20  15.20
065.0-075.0   7   3.11  12.76
075.0-085.0   6   1.96  14.42
085.0-095.0   4   3.14  12.55
095.0-105.0   4   0.86  14.38
105.0-115.0   2   2.95   8.95
115.0-125.0   2   0.65  10.55
125.0-135.0   2   1.30  10.10
135.0-145.0 N/A    N/A    N/A
145.0-155.0   3   2.67  11.17
155.0-165.0   3   1.61  10.20
165.0-175.0   1    N/A   4.90
175.0-185.0   1    N/A  12.00
185.0-195.0   1    N/A  12.70
195.0-205.0   3   1.39   8.50
205.0-215.0   4   2.53   8.03
215.0-225.0   7   2.45   5.33
225.0-235.0   8   1.17   5.61
235.0-245.0   8   1.49   4.91
245.0-255.0   6   3.78   6.93
255.0-265.0   5   2.30  12.12
265.0-275.0   7   1.07  10.73
275.0-285.0   4   1.68   8.88
285.0-295.0   3   3.74   7.80
295.0-305.0   1    N/A  11.30
305.0-315.0   3   0.42  10.93
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   0.95   7.57
335.0-345.0   2   1.45   7.35
345.0-355.0   2   3.55   4.35
