355.0-005.0   3   0.39   4.57
005.0-015.0   7   1.26   3.87
015.0-025.0   8   1.39   6.06
025.0-035.0  14   2.55   7.76
035.0-045.0   6   1.73  11.68
045.0-055.0   7   3.01  16.30
055.0-065.0   3   0.33  16.93
065.0-075.0   2   2.45  14.95
075.0-085.0   3   4.00  13.13
085.0-095.0   1    N/A  11.60
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A   7.00
125.0-135.0   1    N/A   6.10
135.0-145.0   4   1.79   5.78
145.0-155.0   1    N/A   7.60
155.0-165.0   4   1.02   6.48
165.0-175.0   3   1.17   6.47
175.0-185.0   2   0.75   6.95
185.0-195.0   5   1.93   6.06
195.0-205.0  10   1.37   3.52
205.0-215.0  10   1.34   3.06
215.0-225.0   9   1.20   3.34
225.0-235.0   6   0.99   3.43
235.0-245.0   3   1.69   2.80
245.0-255.0   3   1.55   8.57
255.0-265.0   2   0.60   8.20
265.0-275.0   2   1.25   4.85
275.0-285.0   1    N/A   1.70
285.0-295.0 N/A    N/A    N/A
295.0-305.0   1    N/A  10.30
305.0-315.0 N/A    N/A    N/A
315.0-325.0   4   1.72   6.52
325.0-335.0   2   0.15   3.25
335.0-345.0   4   1.03   4.53
345.0-355.0   2   1.35   4.35
